"partido";"palavra";"tipo";"lat";"lng"
"Rede45";"desprezível";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"piada";"pos";"-8.4257032";"-35.5329497"
"Rede45";"parabéns";"pos";"-21.0350113";"-44.7592921"
"Rede45";"ganância";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"menos";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"culpa";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"incoerência";"neg";"-21.3829234";"-51.5754829"
"Rede45";"corrupto";"neg";"-20.3477821";"-40.2949528"
"Rede45";"duro";"neg";"-3.7319029";"-38.5267393"
"Rede45";"ministro";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"consenso";"pos";"-16.6868824";"-49.26478849999999"
"Rede45";"consenso";"pos";"-16.6868824";"-49.26478849999999"
"Rede45";"perder";"neg";"-23.5505199";"-46.63330939999999"
