"partido";"palavra";"tipo";"lat";"lng"
"Rede45";"saúde";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"maldita";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"legal";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"engana";"neg";"-19.9245018";"-43.93523760000001"
"Rede45";"preocupa";"pos";"-22.2272034";"-54.82912589999999"
"Rede45";"sim";"pos";"-8.1693806";"-34.9370588"
"Rede45";"paz";"pos";"-8.4257032";"-35.5329497"
"Rede45";"matando";"neg";"-16.6868824";"-49.26478849999999"
"Rede45";"cuida";"pos";"-22.2272034";"-54.82912589999999"
"Rede45";"ilegal";"neg";"-3.1190275";"-60.0217314"
"Rede45";"consegue";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"perderam";"neg";"-3.7319029";"-38.5267393"
"Rede45";"querem";"pos";"-18.7190705";"-39.856734"
"Rede45";"ladrão";"neg";"-8.098946999999999";"-41.2004878"
"Rede45";"excelência";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"criam";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"jogo";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"sacrificam";"neg";"-8.4257032";"-35.5329497"
"Rede45";"poder";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"ganhou";"pos";"-3.7319029";"-38.5267393"
"Rede45";"condenado";"neg";"-3.1190275";"-60.0217314"
"Rede45";"chorar";"neg";"-5.178204";"-40.6695522"
"Rede45";"parte";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"oposição";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"dor";"neg";"-5.178204";"-40.6695522"
"Rede45";"torpe";"neg";"-3.1190275";"-60.0217314"
"Rede45";"triste";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"triste";"neg";"-30.0435905";"-51.1861738"
"Rede45";"acreditar";"pos";"-3.7319029";"-38.5267393"
"Rede45";"ganância";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"diminui";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"duro";"neg";"-3.7319029";"-38.5267393"
"Rede45";"bom";"pos";"-23.6742228";"-46.5436003"
"Rede45";"piada";"pos";"-8.4257032";"-35.5329497"
"Rede45";"ladrões";"neg";"-22.1123693";"-45.027985"
"Rede45";"ajudam";"pos";"-8.4257032";"-35.5329497"
"Rede45";"temer";"neg";"-8.4257032";"-35.5329497"
"Rede45";"temer";"neg";"-22.9068467";"-43.1728965"
"Rede45";"temer";"neg";"-8.1693806";"-34.9370588"
"Rede45";"temer";"neg";"-30.0435905";"-51.1861738"
"Rede45";"culpa";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"acredito";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"recebeu";"pos";"-22.9068467";"-43.1728965"
"Rede45";"melhor";"pos";"-8.4257032";"-35.5329497"
"Rede45";"surrupiaram";"neg";"-18.7190705";"-39.856734"
"Rede45";"perder";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"favor";"pos";"-8.4257032";"-35.5329497"
"Rede45";"salvar";"pos";"-3.1190275";"-60.0217314"
