"partido";"userid";"username";"location";"texto";"coordinates"
"PMDB_Nacional";"698494784885936128";"Sivaldo Brito";"Gogó da ema";"nacional oh, se não fosse uma piada já ia pensar que era verdade kkkkkkkk, gozado";""
"PMDB_Nacional";"889608519539982336";"Lula 2018";"Vila da Prata, Manaus";"nacional querem vender a amazonia vai perder todos os seus governadores ano que vem nas urnas";""
"ptbrasil";"35286155";"Nasci em 76";"Não Me Toque, Brasil";"aliás, vocês já decidiram o que vão fazer com ela sacanagem não estar lá com o lula, da";""
"ptbrasil";"2239780546";"TG Veritas";"Ribeirão Preto SP";"inflação na meta, desemprego em queda, atividade econômica em recuperação o vice que vc";""
"ptbrasil";"1190639058";"Fora Mustafá! Câncer";"São Paulo";"improbabilidade reflexo direto dos jumentos que comandam essa organização criminosa";""
"ptbrasil";"824391494052286465";"Raquelle Aguiar";"Fortaleza, Brasil";"tb acho o o brasil ainda vai ser livre e consciente, d q pessoas como";""
"ptbrasil";"373994352";"ARKAITZ";"MIS DOCUMENTOS";"arriba brasil libre y soberano porque la historia es nuestra y lahacen los pueblos libre";""
"ptbrasil";"31864044";"Marcio Kleber Torres";"Vila Velha";"golpe foi o que essa e seus companheiros fizeram com o brasil ão";""
"ptbrasil";"902567177131319296";"Beatriz França";"Juazeiro do Norte, Brasil";"juazeiro do norte ta cagando pro luladrão";""
"ptbrasil";"846944450068856832";"Anderson Correia";"Petrolina, Brasil";"só isso bolsonaro onde anda é recepcionado por mais que o dobro kkkkk";""
"ptbrasil";"339489318";"porra, giovanni";"Porto Alegre, Brasil";"a bancada foi contra lula em tb qdo ele recebeu carta oficial do greenpiece pq qria ven";""
"ptbrasil";"235284537";"Rosilene";"Viçosa, Brasil";", vai lá e dá um abraço nela esse povo te ama de verdade presidente em";""
"ptbrasil";"852160002697695232";"Arte no Vaso";"Não Me Toque, Brasil";"acabaram com o estoque de cachaça da cidade";""
"ptbrasil";"901145409694945281";"Rafael Vieira de Sou";"Ubaporanga MG";"ele não é presidente é um canalha";""
"ptbrasil";"828205829966983168";"Rosemary Apaixonada";"Brasília";"ta na bíblia essa cidade";""
"ptbrasil";"29536585";"Brad Pickler";"Florianópolis, Santa Catarina";"esses votinhos valem ouro";""
"ptbrasil";"32541837";"Diego da Silva Lima";"Osasco SP Brasil";"lula pode ir preso ainda em setembro";""
"ptbrasil";"894399921851437056";"Guiomar Melo";"Recife, Brasil";"e nós seguindo";""
